transaction_id,customer_name,phone,email,account_type,branch_state,branch_city,transaction_type,channel,transaction_amount,balance_after,transaction_date,status,narration
TXN-0081,Ifeanyi Chukwu,08067684083,ifeanyichukwu@yahoo.com,Current,anambra,Ekwulobia,Credit,ATM,₦6723,384118.89,2024-02-27,Successful,Dividend Payment
TXN-0082,Ibrahim Aliyu,08089617812,ibrahim_aliyu70@yahoo.com,Fixed Deposit,OYO,Saki,Debit,Bank Branch,₦7535,189926.74,2024-06-16,Successful,Supermarket Purchase
TXN-0083,Kayode Bello,09077111117,kayode.bello35@hotmail.com,Savings,kaduna,Kaduna South,Debit,USSD,₦74247,434671.33,2024-01-05,Successful,POS Payment - Shoprite
TXN-0084,Zainab Mohammed,09099892308,zainabmohammed90@gmail.com,Current,ANAMBRA,Awka,Transfer,Bank Branch,₦2829,571624.58,2024-01-21,Successful,Transfer to Amina Tanko - Opay
TXN-0085,Zainab Ogundipe,08138937064,zainab_ogundipe@gmail.com,Savings,Enugu,Oji River,Transfer,Mobile App,₦24924,144246.87,2024-02-16,Successful,Transfer to Nneka Tanko - Opay
TXN-0086,Kayode Bello,09075353185,kayode.bello@outlook.com,Fixed Deposit,anambra,Onitsha,Credit,Bank Branch,₦1284,542554.15,2024-12-06,Successful,Dividend Payment
TXN-0087,Obinna Yusuf,07035434031,obinnayusuf@gmail.com,Fixed Deposit,ogun,Ijebu-Ode,Credit,USSD,₦62178,551108.74,2024-12-31,Successful,Transfer from Kayode Adebayo
TXN-0088,Segun Garba,08054301059,segun.garba@hotmail.com,Savings,ogun,Ilaro,Debit,Bank Branch,₦205641,0,2024-02-03,Successful,Rent Payment
TXN-0089,Babatunde Adebayo,09036925834,babatundeadebayo60@gmail.com,Fixed Deposit,Kaduna,Kaduna South,Credit,ATM,₦60652,150489.35,2024-06-01,Successful,Loan Disbursement - GTBank
TXN-0090,Ngozi Musa,09062737340,ngozi_musa7@outlook.com,Fixed Deposit,OGUN,Ijebu-Ode,Transfer,Bank Branch,₦7355,466209.23,2024-05-25,Successful,Transfer to Halima Aliyu
TXN-0091,Bayo Obiora,07037233589,bayo.obiora@gmail.com,Current,Kano,Dala,Credit,Mobile App,₦3183,147655.92,2024-04-06,Pending,Refund - Jumia
TXN-0092,Fatima Ibrahim,,fatima.ibrahim@hotmail.com,Savings,RIVERS,Eleme,Debit,ATM,₦19654,77657.73,2024-07-13,Reversed,ATM Cash Withdrawal
TXN-0093,Bayo Suleiman,09079510086,bayo_suleiman78@yahoo.com,Current,LAGOS,Lekki,Transfer,Bank Branch,₦3781,8408.85,2024-05-30,Reversed,Transfer to Funke Eze
TXN-0094,Emeka Aliyu,08125210884,emeka.aliyu71@yahoo.com,Current,ENUGU,Agbani,Transfer,Bank Branch,₦120714,117517.78,2024-01-10,Successful,Interbank Transfer - Access Bank
TXN-0095,Nkechi Nwofor,09030737610,nkechinwofor92@yahoo.com,Fixed Deposit,Anambra,Nnewi,Transfer,USSD,₦159587,697875.72,2024-06-12,Pending,Transfer to Nkechi Adebayo - Opay
TXN-0096,Biodun Salami,09094537854,biodun.salami52@hotmail.com,Savings,LAGOS,Yaba,Debit,POS,₦18840,6828.11,2024-03-21,Successful,School Fees Payment
TXN-0097,Obinna Musa,09067435101,obinnamusa76@outlook.com,Fixed Deposit,DELTA,Agbor,Credit,ATM,₦10224,696436.85,2024-11-01,Failed,Refund - Jumia
TXN-0098,Chinyere Abubakar,09078193889,chinyere.abubakar@gmail.com,Fixed Deposit,delta,Ughelli,Credit,Mobile App,₦504,244289.34,2024-09-01,Failed,Business Revenue
TXN-0099,Emeka Suleiman,08121811629,emeka.suleiman@hotmail.com,Fixed Deposit,ENUGU,Awgu,Transfer,Mobile App,₦135329,512182.67,2024-08-12,Reversed,Interbank Transfer - Access Bank
TXN-0100,Yakubu Musa,08074907770,yakubumusa@outlook.com,Fixed Deposit,Kano,Gwale,Credit,Bank Branch,₦3848,799002.34,2024-10-16,Failed,Business Revenue
TXN-0101,Blessing Usman,09076925119,blessing.usman@yahoo.com,Current,ENUGU,Oji River,Transfer,USSD,₦1356,411243.88,2024-03-29,Successful,Transfer to Blessing Okafor
TXN-0102,Funke Salami,07014087144,funke_salami3@yahoo.com,Fixed Deposit,OGUN,Sagamu,Debit,Bank Branch,₦168033,42141.85,2024-01-05,Successful,POS Payment - Chicken Republic
TXN-0103,Tunde Okonkwo,,tunde_okonkwo65@yahoo.com,Fixed Deposit,Ogun,Abeokuta,Transfer,POS,₦3112,497795.54,2024-04-06,Successful,Transfer to Rukayat Nwosu
TXN-0104,Obinna Tanko,08149456831,obinna.tanko@gmail.com,Savings,OGUN,Ilaro,Credit,POS,₦3399,636819.06,2024-09-25,Pending,Business Revenue
TXN-0105,Fatima Abubakar,09035678556,fatima.abubakar@gmail.com,Savings,ANAMBRA,Nnewi,Debit,POS,₦3861,707032.9,2024-05-20,Successful,Fuel Payment
TXN-0106,Tunde Adebayo,08165734964,tundeadebayo69@yahoo.com,Current,Kaduna,Igabi,Credit,USSD,₦2490,281131.33,2024-01-25,Reversed,Transfer from Tunde Yusuf
TXN-0107,Funke Adeleke,08078603600,funke.adeleke49@outlook.com,Current,ABUJA,Wuse,Credit,Bank Branch,₦182962,215023.02,2024-05-13,Successful,Dividend Payment
TXN-0108,Zainab Adekunle,08129303663,zainab.adekunle@hotmail.com,Current,Oyo,Iseyin,Credit,ATM,₦1604,176417.77,2024-09-05,Reversed,Business Revenue
TXN-0109,Blessing Adeyemi,08021304683,blessing.adeyemi67@gmail.com,Fixed Deposit,abuja,Wuse,Credit,POS,₦1197,195749.32,2024-03-03,Pending,Refund - Jumia
TXN-0110,Segun Yusuf,08150507765,segun.yusuf@hotmail.com,Fixed Deposit,Lagos,Lekki,Credit,POS,₦14211,241742.03,2024-09-27,Successful,Business Revenue
TXN-0111,Yakubu Mohammed,09051283146,yakubu_mohammed62@gmail.com,Current,OYO,Oyo,Debit,ATM,₦49381,540109.31,2024-04-03,Pending,POS Payment - Chicken Republic
TXN-0112,Bayo Tanko,08067481369,bayo_tanko30@outlook.com,Current,kaduna,Kaduna South,Credit,Mobile App,₦7383,454379.39,2024-04-12,Reversed,Refund - Jumia
TXN-0113,Kemi Adebayo,08129367419,kemi_adebayo@hotmail.com,Savings,Rivers,Obio-Akpor,Transfer,POS,₦1943,779793.43,2024-05-18,Successful,Transfer to Funke Lawal - Opay
TXN-0114,Oluwaseun Obi,09067344855,oluwaseun_obi29@outlook.com,Current,enugu,Agbani,Credit,ATM,₦1910,468320.96,2024-04-20,Successful,Loan Disbursement - GTBank
TXN-0115,Ifeanyi Aliyu,08084270933,ifeanyialiyu66@hotmail.com,Savings,Oyo,Oyo,Credit,Bank Branch,₦10837,696885.03,2024-01-18,Failed,Business Revenue
TXN-0116,Fatima Obi,09021105788,fatima.obi@outlook.com,Current,Delta,Sapele,Credit,ATM,₦4412,633718.83,2024-03-13,Failed,Transfer from Ngozi Obi
TXN-0117,Uche Adeyemi,08144030453,uche.adeyemi@outlook.com,Fixed Deposit,DELTA,Warri,Debit,Bank Branch,₦15142,135210.6,2024-09-28,Successful,Rent Payment
TXN-0118,Damilola Aliyu,,damilolaaliyu@yahoo.com,Fixed Deposit,Abuja,Gwarinpa,Debit,USSD,₦179533,19074.69,2024-05-29,Reversed,Airtime Purchase - MTN
TXN-0119,Funke Usman,07033993823,funkeusman66@hotmail.com,Current,ENUGU,Oji River,Transfer,POS,₦156687,270223.87,2024-09-23,Successful,Interbank Transfer - Access Bank
TXN-0120,Oluwaseun Lawal,09033775443,oluwaseun_lawal@outlook.com,Current,KANO,Dala,Credit,Mobile App,₦2809,707072.77,2024-04-16,Successful,Dividend Payment
TXN-0121,Tosin Adeleke,08079986442,tosin.adeleke79@yahoo.com,Fixed Deposit,kaduna,Kaduna South,Credit,USSD,₦11857,489445.96,2024-10-07,Successful,Transfer from Fatima Yusuf
TXN-0122,Chukwuemeka Okafor,07019287485,chukwuemekaokafor71@gmail.com,Savings,kano,Tarauni,Credit,Mobile App,₦289836,777021.7,2024-12-18,Reversed,Loan Disbursement - GTBank
TXN-0123,Ngozi Adeyemi,08154567131,ngoziadeyemi@hotmail.com,Fixed Deposit,Delta,Agbor,Credit,Mobile App,₦4377,292749.57,2024-03-29,Successful,Transfer from Chinyere Adeyemi
TXN-0124,Biodun Bello,08131534489,biodun.bello@yahoo.com,Current,Rivers,Obio-Akpor,Debit,ATM,₦4635,195479.2,2024-02-20,Successful,POS Payment - Shoprite
TXN-0125,Halima Nwosu,08144204707,halima_nwosu@gmail.com,Fixed Deposit,ABUJA,Maitama,Credit,USSD,₦4365,154740.88,2024-10-03,Failed,Loan Disbursement - GTBank
TXN-0126,Yakubu Yusuf,08066127294,yakubu_yusuf@outlook.com,Savings,OYO,Oyo,Debit,ATM,₦76018,535243.37,2024-12-23,Pending,Supermarket Purchase
TXN-0127,Yakubu Nwachukwu,08139472871,yakubu_nwachukwu3@hotmail.com,Fixed Deposit,Rivers,Port Harcourt,Credit,POS,₦1671,320496.14,2024-03-02,Successful,Loan Disbursement - GTBank
TXN-0128,Ngozi Mohammed,,ngozimohammed@yahoo.com,Current,Anambra,Awka,Credit,Mobile App,₦956,699501.33,2024-03-10,Failed,Transfer from Kemi Nwachukwu
TXN-0129,Yusuf Suleiman,08138334521,yusuf_suleiman86@hotmail.com,Savings,Enugu,Nsukka,Transfer,Bank Branch,₦76357,,2024-09-28,Successful,Transfer to Segun Yusuf - Opay
TXN-0130,Damilola Mohammed,08152342603,damilola.mohammed15@yahoo.com,Fixed Deposit,KADUNA,Kaduna South,Credit,Bank Branch,₦12804,759205.79,2024-04-03,Failed,Dividend Payment
TXN-0131,Nkechi Aliyu,09054554692,nkechi.aliyu@hotmail.com,Savings,Kaduna,Igabi,Debit,USSD,₦428090,0,2024-04-03,Successful,Bill Payment - EKEDC
TXN-0132,Chukwuemeka Adeyemi,08152330503,chukwuemeka_adeyemi@yahoo.com,Savings,abuja,Maitama,Credit,Bank Branch,₦2108,387196.57,2024-04-16,Failed,Salary Credit - Access Bank
TXN-0133,Damilola Obiora,08037307784,damilola.obiora63@outlook.com,Savings,enugu,Oji River,Transfer,POS,₦54083,214845.96,2024-02-19,Failed,NIP Transfer to Oluwaseun Mohammed
TXN-0134,Nneka Suleiman,08050151413,nnekasuleiman@yahoo.com,Savings,ENUGU,Nsukka,Debit,Bank Branch,₦7071,615484.56,2024-08-24,Successful,Bill Payment - EKEDC
TXN-0135,Emeka Okonkwo,08063650204,emeka.okonkwo@outlook.com,Savings,Lagos,Surulere,Credit,ATM,₦14886,164595.48,2024-02-03,Failed,Refund - Jumia
TXN-0136,Sade Yusuf,08142149044,sade_yusuf@yahoo.com,Savings,KANO,Dala,Transfer,Bank Branch,₦2980,178270.75,2024-04-03,Successful,NIP Transfer to Zainab Chukwu
TXN-0137,Oluwaseun Nwosu,08102488354,oluwaseun_nwosu26@hotmail.com,Current,abuja,Asokoro,Transfer,Mobile App,₦3887,526092.37,2024-03-25,Successful,Interbank Transfer - Access Bank
TXN-0138,Uche Abubakar,09061531544,uche.abubakar@outlook.com,Savings,Anambra,Ekwulobia,Transfer,POS,₦310950,0,2024-07-13,Failed,NIP Transfer to Obinna Adeyemi
TXN-0139,Kemi Bello,07068864607,kemi.bello@hotmail.com,Fixed Deposit,oyo,Ogbomosho,Transfer,POS,₦527,786698.58,2024-03-06,Reversed,Interbank Transfer - Access Bank
TXN-0140,Uche Adeyemi,08032131452,ucheadeyemi40@yahoo.com,Current,Oyo,Ogbomosho,Debit,ATM,₦2046,431535.69,2024-09-11,Pending,POS Payment - Chicken Republic
TXN-0141,Ngozi Adeyemi,09096401332,ngoziadeyemi65@yahoo.com,Current,Kano,Dala,Credit,ATM,₦3061,214895.41,2024-06-20,Successful,Loan Disbursement - GTBank
TXN-0142,Zainab Nwofor,08108937255,zainab.nwofor1@hotmail.com,Fixed Deposit,RIVERS,Oyigbo,Credit,ATM,₦76459,475603.53,2024-10-07,Successful,Dividend Payment
TXN-0143,Biodun Okonkwo,08065573858,biodun_okonkwo@yahoo.com,Current,kaduna,Kafanchan,Debit,ATM,₦2867,136640.02,2024-09-07,Successful,POS Payment - Shoprite
